country,transportation_type,date,mobility
NorthernIreland,transit,2020-01-25,97.37
Scotland,driving,2020-01-25,114.87
Scotland,walking,2020-01-25,165.29
Scotland,transit,2020-01-25,108.99
Wales,driving,2020-01-25,109.32
Wales,walking,2020-01-25,157.11
Wales,transit,2020-01-25,93.16
England,driving,2020-01-26,95.4
England,walking,2020-01-26,97.61
England,transit,2020-01-26,101.17
NorthernIreland,driving,2020-01-26,88.32
NorthernIreland,walking,2020-01-26,90.18
NorthernIreland,transit,2020-01-26,83.2
Scotland,driving,2020-01-26,95.68
Scotland,walking,2020-01-26,101.71
Scotland,transit,2020-01-26,101.14
Wales,driving,2020-01-26,92.89
Wales,walking,2020-01-26,93.12
Wales,transit,2020-01-26,87.31
England,driving,2020-01-27,101.75
England,walking,2020-01-27,104.37
England,transit,2020-01-27,103.89
NorthernIreland,driving,2020-01-27,102.47
NorthernIreland,walking,2020-01-27,111.59
NorthernIreland,transit,2020-01-27,93.67
Scotland,driving,2020-01-27,103.55
Scotland,walking,2020-01-27,107.71
Scotland,transit,2020-01-27,106.1
Wales,driving,2020-01-27,99.46
Wales,walking,2020-01-27,108.08
Wales,transit,2020-01-27,92.36
England,driving,2020-01-28,105.72
England,walking,2020-01-28,113.71
England,transit,2020-01-28,105.76
NorthernIreland,driving,2020-01-28,106.09
NorthernIreland,walking,2020-01-28,109.38
NorthernIreland,transit,2020-01-28,96.3
Scotland,driving,2020-01-28,105.95
Scotland,walking,2020-01-28,112.36
Scotland,transit,2020-01-28,108.31
Wales,driving,2020-01-28,102.75
Wales,walking,2020-01-28,111.81
Wales,transit,2020-01-28,92.55
England,driving,2020-01-29,106.75
England,walking,2020-01-29,123.15
England,transit,2020-01-29,109.18
NorthernIreland,driving,2020-01-29,108.61
NorthernIreland,walking,2020-01-29,126.14
NorthernIreland,transit,2020-01-29,99.96
Scotland,driving,2020-01-29,111.83
Scotland,walking,2020-01-29,112.39
Scotland,transit,2020-01-29,109.76
Wales,driving,2020-01-29,102.51
Wales,walking,2020-01-29,120.78
Wales,transit,2020-01-29,99.23
England,driving,2020-01-30,105.15
England,walking,2020-01-30,120.14
England,transit,2020-01-30,108.82
NorthernIreland,driving,2020-01-30,114.09
NorthernIreland,walking,2020-01-30,127.94
NorthernIreland,transit,2020-01-30,101.36
Scotland,driving,2020-01-30,108.09
Scotland,walking,2020-01-30,114.3
Scotland,transit,2020-01-30,106.91
Wales,driving,2020-01-30,104.61
Wales,walking,2020-01-30,119.26
Wales,transit,2020-01-30,92.4
England,driving,2020-01-31,113.58
England,walking,2020-01-31,142.71
England,transit,2020-01-31,118.5
NorthernIreland,driving,2020-01-31,123.8
NorthernIreland,walking,2020-01-31,144.89
NorthernIreland,transit,2020-01-31,102.96
Scotland,driving,2020-01-31,123.55
Scotland,walking,2020-01-31,151.27
Scotland,transit,2020-01-31,114.81
Wales,driving,2020-01-31,119.09
Wales,walking,2020-01-31,153.26
Wales,transit,2020-01-31,98.64
England,driving,2020-02-01,111.99
England,walking,2020-02-01,167.96
England,transit,2020-02-01,120.02
NorthernIreland,driving,2020-02-01,120.79
NorthernIreland,walking,2020-02-01,176.13
NorthernIreland,transit,2020-02-01,97.25
Scotland,driving,2020-02-01,117.69
Scotland,walking,2020-02-01,175.91
Scotland,transit,2020-02-01,111.9
Wales,driving,2020-02-01,105.71
