"country","date","proportion"
"Northern Ireland","2020-11-25",16
"Northern Ireland","2020-11-26",20.3
"Northern Ireland","2020-11-27",24.6
"Northern Ireland","2020-11-28",28.9
"Northern Ireland","2020-11-29",33.2
"Northern Ireland","2020-11-30",37.5
"Northern Ireland","2020-12-01",35.43
"Northern Ireland","2020-12-02",33.36
"Northern Ireland","2020-12-03",31.29
"Northern Ireland","2020-12-04",29.21
"Northern Ireland","2020-12-05",27.14
"Northern Ireland","2020-12-06",25.07
"Northern Ireland","2020-12-07",23
"Northern Ireland","2020-12-08",26.86
"Northern Ireland","2020-12-09",30.71
"Northern Ireland","2020-12-10",34.57
"Northern Ireland","2020-12-11",38.43
"Northern Ireland","2020-12-12",42.29
"Northern Ireland","2020-12-13",46.14
"Northern Ireland","2020-12-14",50
"Northern Ireland","2020-12-15",46.43
"Northern Ireland","2020-12-16",42.86
"Northern Ireland","2020-12-17",39.29
"Northern Ireland","2020-12-18",35.71
"Northern Ireland","2020-12-19",32.14
"Northern Ireland","2020-12-20",28.57
"Northern Ireland","2020-12-21",25
"Northern Ireland","2020-12-22",29.83
"Northern Ireland","2020-12-23",34.66
"Northern Ireland","2020-12-24",39.49
"Northern Ireland","2020-12-25",44.31
"Northern Ireland","2020-12-26",49.14
"Northern Ireland","2020-12-27",53.97
"Northern Ireland","2020-12-28",58.8
"Northern Ireland","2020-12-29",56.86
"Northern Ireland","2020-12-30",54.91
"Northern Ireland","2020-12-31",52.97
"Northern Ireland","2021-01-01",51.03
"Northern Ireland","2021-01-02",49.09
"Northern Ireland","2021-01-03",47.14
"Northern Ireland","2021-01-04",45.2
"Northern Ireland","2021-01-05",48.94
"Northern Ireland","2021-01-06",52.69
"Northern Ireland","2021-01-07",56.43
"Northern Ireland","2021-01-08",60.17
"Northern Ireland","2021-01-09",63.91
"Northern Ireland","2021-01-10",67.66
"Northern Ireland","2021-01-11",71.4
"Northern Ireland","2021-01-12",72.37
"Northern Ireland","2021-01-13",73.34
"Northern Ireland","2021-01-14",74.31
"Northern Ireland","2021-01-15",75.29
"Northern Ireland","2021-01-16",76.26
